Code Article;Libellé famille article;Fournisseur;Désignation courte article;Prix de vente Ht tarif|;Prix de vente Ttc tarif|;Prix de vente Ht tarif|BYMAL;Prix de vente Ttc tarif|BYMAL;Prix de vente Ht tarif|N;Prix de vente Ttc tarif|N;Prix de vente Ht tarif|NPRO;Prix de vente Ttc tarif|NPRO;Prix de vente Ht tarif|PHAR;Prix de vente Ttc tarif|PHAR;Prix de vente Ht tarif|ROBIN;Prix de vente Ttc tarif|ROBIN;Prix de vente Ht tarif|TP;Prix de vente Ttc tarif|TP;Prix de vente Ht tarif|TROPI;Prix de vente Ttc tarif|TROPI;Date_MAJ
ACCAMU200-4.5;ACCESSOIRE;;BOITE DE FICHES a CHIGNON U200 4.5cm de 200G;11,75;12,75;0,00;0,00;11,75;12,75;13,04;14,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2026-07-30T14:11:33.595Z
ACCAMU200-6.5;ACCESSOIRE;;BOITE DE FICHES a CHIGNON U200 6.5cm de 200G;11,75;12,75;0,00;0,00;11,75;12,75;13,04;14,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2026-07-30T14:11:33.595Z
ACCAMU200-6CM;ACCESSOIRE;;BOITE DE FICHES a CHIGNON U200 6cm de 200G;11,75;12,75;0,00;0,00;11,75;12,75;13,04;14,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2026-07-30T14:11:33.595Z
ACCAMU200-7CM;ACCESSOIRE;;BOITE DE FICHES a CHIGNON U200 5cm de 200G;11,75;12,75;0,00;0,00;0,00;0,00;13,04;14,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2026-07-30T14:11:33.595Z
ACCAMU400-6.5;ACCESSOIRE;;BOITE DE FICHES a CHIGNON U400 6.5cm de 400G;13,75;14,92;0,00;0,00;0,00;0,00;15,21;16,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2026-07-30T14:11:33.595Z
ACCAMU400-6CM;ACCESSOIRE;;BOITE DE FICHES a CHIGNON U400 6cm de 400G;13,75;14,92;0,00;0,00;0,00;0,00;15,21;16,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2026-07-30T14:11:33.595Z
ACCAMU400-7CM;ACCESSOIRE;;BOITE DE FICHES a CHIGNON U400 7cm de 400G;13,75;14,92;0,00;0,00;0,00;0,00;15,21;16,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2026-07-30T14:11:33.595Z
ACCAMU402P5.5;ACCESSOIRE;;BOITE DE PINCES a CHIGNON 402P 5.5cm;16,75;18,17;0,00;0,00;0,00;0,00;18,43;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2026-07-30T14:11:33.595Z
ACCAMU402P5CM;ACCESSOIRE;;BOITE DE PINCES a CHIGNON 402P 5cm;16,75;18,17;0,00;0,00;0,00;0,00;18,43;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2026-07-30T14:11:33.595Z
ACCAMU402P6CM;ACCESSOIRE;;BOITE DE PINCES a CHIGNON 402P 6cm;16,75;18,17;0,00;0,00;0,00;0,00;18,43;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2026-07-30T14:11:33.595Z
ACCAMU402P7CM;ACCESSOIRE;;BOITE DE PINCES a CHIGNON 402P 7cm;16,75;18,17;0,00;0,00;0,00;0,00;18,43;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2026-07-30T14:11:33.595Z
