Code Article;Désignation courte article;Stock
ACCACPEIGNROU;;0
ACCAMFICHE75P;;0
ACCAMFICHE76B;;0
ACCAMU200-4.5;;5
ACCAMU200-6.5;;-1
ACCAMU200-6CM;;0
ACCAMU200-7CM;;6
ACCAMU400-4.5;;0
ACCAMU400-6.5;;27
ACCAMU400-6CM;;25
ACCAMU400-7CM;;19
ACCAMU402P5.5;;34
ACCAMU402P5CM;;20
ACCAMU402P6CM;;20
ACCAMU402P7CM;;-5
ACCAMU407P5CM;;22
ACCAMU407P6CM;;23
ACCAMU407P7CM;;8
ACCAMU45P-4.5;;-25
ACCBBCAPESNOI;;1
ACCBBCAPESRAY;;1
ACCBBMEUBLBOI;;4
ACCBBTABLIGTL;;1
ACCBBTABLIWWL;;3
ACCCRPEIGNNOI;;0
ACCELBOLCLIMG;;4
ACCELBOLCLNOI;;20
ACCELPINCEIMG;;0
ACCELPINCENOI;;10
ACCELPINCEPET;;22
ACCELPINCESIL;;32
ACCELPOCHBNOI;;10
ACCELPRSTBNOI;;11
ACCELSACECNOI;;256
ACCELSERVIBLA;;36
ACCERBOLCLNOI;;4
ACCERMEUBLMET;;1
ACCERPEIGNNOI;;6
ACCERPINCENOI;;0
ACCERPINCSNOI;;7
ACCERPRSTBNOI;;27
ACCES4BRANFER;;-19
ACCESBIGOUBLE;;-5
ACCESBIGOUROU;;1
ACCESBROSSN01;;-33
ACCESBROSSN02;;-11
ACCESBROSSN03;;-26
ACCESBROSSN04;;-29
ACCESBROSSN05;;-23
ACCESPEIGNBLA;;0
ACCEVBONUISAT;;-5
ACCEVFOULADOR;;-3
ACCEVFOULANOI;;0
ACCGLSPMTA125;;46
ACCGLSPMTO125;;46
ACCGLSPRAM125;;34
ACCGLSPRAR125;;15
ACCGLSPRAY125;;24
ACCKIFILMT30C;;30
ACCKIPINCCNOI;;6
ACCKLBOLCLKIT;;8
ACCKLPEIGNNOI;;6
ACCKLSACECBLA;;138
ACCKMBOLCLNOI;;13
ACCKMCARNTGRD;;17
ACCKMDISTRKIT;;2
ACCKMDISTRMEC;;0
ACCKMDOSER150;;12
ACCKMEPLOP025;;3
ACCKMEPLOP040;;2
ACCKMMEUBLPLA;;0
ACCKMPAPME200;;3
ACCKMPEIGNNOI;;16
ACCKMPINCEGRD;;14
ACCKMPINCEPET;;8
ACCKMPRSTBNOI;;2
ACCKMVAPORNOI;;12
ACCLP4BRANMET;;12
ACCLPBIGOU016;;24
ACCLPCAPEBBLA;;5
ACCLPCAPEBBOR;;3
ACCLPPAPIEPTE;;12
ACCLPPICBG050;;22
ACCLPPINCCNOI;;5
ACCLZBONMEMAR;;4
ACCMSREHAU202;;-10
ACCOGBLENB065;;4
ACCOGBLENB5CM;;5
ACCSS4BRAN100;;11
ACCSS4BRAN20P;;49
ACCSSALU1215C;;0
ACCSSALU1512B;;25
ACCSSALU1512O;;7
ACCSSALU1512R;;17
ACCSSALU1515C;;74
ACCSSALU1530C;;31
ACCSSBALAICAO;;3
ACCSSBALAIJAU;;6
ACCSSBALAIKIT;;-1
ACCSSBIGOMD24;;9
ACCSSBIGOMD32;;11
ACCSSBIGOPBLE;;51
ACCSSBIGOPNOI;;37
ACCSSBIGOU016;;-1
ACCSSBOCHB11C;;12
ACCSSBOCHB9CM;;12
ACCSSBOCHM11C;;12
ACCSSBOCHM9CM;;12
ACCSSBONMEBLE;;13
ACCSSBONMEMAR;;1
ACCSSBONPMNOI;;1
ACCSSBONPMPLA;;5
ACCSSBONSHALU;;1
ACCSSBOUCH11C;;-1
ACCSSBOUCH9CM;;4
ACCSSBOUCHLNG;;24
ACCSSBRACENOI;;26
ACCSSCARCAAVC;;22
ACCSSCARCASSC;;22
ACCSSCARNTGRD;;5
ACCSSELAST012;;16
ACCSSELASTCAO;;20
ACCSSELASTNOI;;12
ACCSSELASTSIL;;29
ACCSSEPLIB045;;2
ACCSSEPLIB065;;3
ACCSSEPLIN045;;14
ACCSSEPLIN065;;0
ACCSSEPONB045;;10
ACCSSEPONB065;;0
ACCSSFILMN30C;;28
ACCSSFILMT15C;;6
ACCSSFILMT30C;;24
ACCSSPALLENOI;;6
ACCSSPAPIEPTE;;46
ACCSSPAPME25C;;9
ACCSSPAPME30C;;15
ACCSSPAPME40C;;8
ACCSSPICEN070;;8
ACCSSPICEN170;;0
ACCSSPICEN190;;0
ACCSSPICENCOL;;8
ACCSSPICENPLA;;0
ACCSSPINCEBIZ;;4
ACCSSPINCEGRD;;9
ACCSSPINCELAR;;10
ACCSSPINCE-XL;;20
ACCSSPINCS11C;;13
ACCSSPINCSCOL;;18
ACCSSPINCSLNG;;-2
ACCSSPINCSMIX;;2
ACCSSPINCSNOI;;2
ACCSSPINCSPET;;-4
ACCSSU402B065;;16
ACCSSU402B5CM;;9
ACCXXALUMIROL;;0
ACCXXANNEABTE;;-127
ACCXXBALAICOU;;-23
ACCXXBIGOUCRL;;-90
ACCXXBIGOUMOU;;-1
ACCXXBIGOUVEL;;-12
ACCXXBONMESIL;;-51
ACCXXBONUINOI;;-2
ACCXXBOUCHLNG;;1
ACCXXBOUCHRND;;-53
ACCXXBROSPNOI;;-3
ACCXXCARCAATR;;11
ACCXXCARCAAUT;;3
ACCXXDOSER200;;-14
ACCXXDOSER230;;7
ACCXXELASTBIG;;-78
ACCXXELASTCHG;;0
ACCXXEPGPRASP;;-2
ACCXXEPGPRSSP;;-83
ACCXXFILMT30C;;50
ACCXXFRANGCHC;;0
ACCXXMECHEFAN;;-2
ACCXXPAPIEPTE;;-75
ACCXXPAPMEGRD;;-3
ACCXXPAPMEPET;;5
ACCXXPEIGNENF;;-17
ACCXXPEIGNLEO;;58
ACCXXPEIGNUNI;;0
ACCXXPEIGNZEB;;0
ACCXXPICENPLA;;-2
ACCXXPINCBMUL;;-51
ACCXXPINCBNOI;;-162
ACCXXPINCCFER;;-18
ACCXXPINCCMUL;;12
ACCXXPINCEKIT;;-16
ACCXXPINCSLNG;;-37
ACCXXPOUDRPAI;;-4
ACCXXREHAULAR;;18
ACCXXREPSCTRS;;2
ACCXXROULM012;;-74
ACCXXSPRAM125;;3
ACCXXSPRAR050;;1
ACCXXSPRAR125;;-1
ACCXXSPRAY125;;-4
ACCXXTABLIGRI;;22
ACCXXTABLINOI;;-2
ACCXXTWISTLAR;;7
ACCXXTWISTPET;;-3
BIJCOI;;1
CAPPRC;;-18
CCFACCURLS300;;108
CCFACCURLY200;;5
CCFBBBARBE050;;2
CCFBBCOLORBRF;;27
CCFBBCOLORNOI;;18
CCFBBEXTRA100;;36
CCFELAF100100;;62
CCFELAFX04150;;44
CCFELAFX06125;;0
CCFELAFX40100;;2
CCFELAFX55100;;6
CCFELAFX70100;;100
CCFELAFX79150;;22
CCFELAFX80001;;11
CCFELAFX83150;;12
CCFELAFX88200;;13
CCFELAFX99200;;-1
CCFELIMPUR150;;13
CCFELMANBB040;;2
CCFELMNGEL150;;142
CCFELMNPOM100;;2
CCFELMWWAX100;;0
CCFERM33--100;;26
CCFER-S03-300;;9
CCFERS04CW100;;4
CCFER-S05-100;;29
CCFERS07EG150;;15
CCFERS33--150;;53
CCFERS35EG100;;3
CCFEVBAUME150;;0
CCFKGBCOCO200;;36
CCFKGCCRIC200;;0
CCFKGCCRIC250;;0
CCFKGKGGAV200;;9
CCFKGKGGMO200;;6
CCFKLAFLAF125;;35
CCFKLAFLFL125;;33
CCFKLAFROH250;;124
CCFKLAFROL100;;5
CCFKLAFROR250;;165
CCFKLBRIZO100;;11
CCFKLDYVAC250;;161
CCFKLEXTRA100;;27
CCFKLEXTRA200;;8
CCFKLMETAL100;;2
CCFKLPEACH500;;5
CCFKLSWING100;;23
CCFKMADRNL200;;17
CCFKMAFTER100;;5
CCFKMFIXGU100;;12
CCFKMHELMG150;;4
CCFKMHICUR200;;736
CCFKMHMCTR200;;536
CCFKMHMCUR200;;225
CCFKMMANYASPR;;12
CCFKMMATEF100;;2
CCFKMRAING150;;7
CCFKMRASER125;;3
CCFKMSCULP250;;42
CCFKMSMODG100;;0
CCFKMSSHPC150;;1
CCFKMZEROG100;;16
CCFKRKARIT100;;1
CCFLPEXTRA125;;-1
CCFLPMODEL125;;1
CCFLPSHINE125;;3
CCFLVHARDG100;;1
CCFLVJAZZG250;;1
CCFLVTEXTS100;;1
CCFOPTOYPA050;;5
CCFSFSTLGL250;;8
CCFSWMACAD250;;7
CHXPRDREADPAQ;;-34
CHXXXEXTENCHD;;-921
CHXXXEXTENFRD;;-1
CHXXXEXTENKIT;;2
CHXXXEXTENPAQ;;-21
COLAC03/43060;;0
COLAC04/43060;;0
COLACM1VIO060;;0
COLEL00/00125;;30
COLEL01/11125;;15
COLEL04/03125;;19
COLEL04/07125;;12
COLEL04/81125;;57
COLEL04/85125;;14
COLEL04/88125;;10
COLEL05/00125;;17
COLEL05/01125;;14
COLEL05/03125;;3
COLEL05/05125;;19
COLEL05/06125;;14
COLEL05/09125;;12
COLEL05/11125;;10
COLEL05/55125;;13
COLEL05/61125;;0
COLEL05/81125;;37
COLEL05/82125;;12
COLEL05/85125;;17
COLEL05/88125;;11
COLEL06/00125;;31
COLEL06/01125;;7
COLEL06/03125;;8
COLEL06/04125;;17
COLEL06/05125;;16
COLEL06/07125;;15
COLEL06/09125;;12
COLEL06/11125;;12
COLEL06/38125;;50
COLEL06/41125;;11
COLEL06/55125;;14
COLEL06/57125;;23
COLEL06/81125;;13
COLEL06/85125;;24
COLEL06/88125;;12
COLEL07/00125;;15
COLEL07/01125;;5
COLEL07/03125;;5
COLEL07/09125;;13
COLEL07/11125;;18
COLEL07/38125;;10
COLEL07/43125;;1
COLEL07/44125;;8
COLEL07/54125;;14
COLEL07/55125;;19
COLEL07/81125;;41
COLEL07/82125;;12
COLEL07/85125;;17
COLEL07/88125;;12
COLEL08/00125;;27
COLEL08/01125;;11
COLEL08/03125;;9
COLEL08/09125;;12
COLEL08/11125;;17
COLEL08/17125;;10
COLEL08/27125;;13
COLEL08/31125;;12
COLEL08/34125;;1
COLEL08/43125;;15
COLEL09/00125;;14
COLEL09/01125;;9
COLEL09/03125;;3
COLEL09/09125;;12
COLEL09/11125;;14
COLEL09/17125;;13
COLEL09/27125;;8
COLEL09/31125;;8
COLEL09/42125;;1
COLEL09/81125;;32
COLEL10/00125;;9
COLEL10/17125;;12
COLEL10/18125;;5
COLEL10/23125;;8
COLEL10/27125;;1
COLEL10/31125;;9
COLEL10/38125;;5
COLEL10/71125;;10
COLEL10011125;;12
COLEL10-03060;;9
COLEL10-04060;;7
COLEL10-05060;;22
COLEL10-06060;;17
COLEL10-07060;;16
COLEL10-09060;;16
COLEL10105125;;16
COLEL10107125;;5
COLEL10112125;;5
COLEL10377060;;5
COLEL104CH060;;22
COLEL105.1060;;11
COLEL105.3060;;15
COLEL105.5060;;24
COLEL105CH060;;6
COLEL105MK060;;8
COLEL106CH060;;13
COLEL107.3060;;18
COLEL11/01125;;20
COLEL12/00125;;5
COLEL12/01125;;13
COLEL12/11125;;7
COLEL12/13125;;5
COLEL12/17125;;15
COLEL12/72125;;15
COLEL901--125;;12
COLEL977--125;;9
COLELANROS125;;12
COLELARANC125;;23
COLELBLEU-125;;10
COLELC0.0-100;;24
COLELC1.1-100;;7
COLELC10.0100;;12
COLELC10.1100;;16
COLELC10.3100;;16
COLELC10--100;;15
COLELC1027100;;9
COLELC1031100;;8
COLELC11.0100;;20
COLELC1---100;;20
COLELC1111100;;7
COLELC1127100;;13
COLELC1171100;;7
COLELC3---100;;29
COLELC4.0-100;;17
COLELC4.7-100;;5
COLELC4.8-100;;16
COLELC4---100;;49
COLELC5.0-100;;11
COLELC5.1-100;;14
COLELC5.3-100;;15
COLELC5.4-100;;25
COLELC5.5-100;;11
COLELC5.6-100;;10
COLELC5.7-100;;8
COLELC5.8-100;;27
COLELC5.81100;;19
COLELC5---100;;1
COLELC6.0-100;;45
