Hauteur de Ton;Naturels / Bases froides (.0 / .01);;;Cendrés (.1 / .11);;Irisé (.2);Dorés (.3);Dorés acajou (.34 / .35);Cuivrés (.4 / .43 / .44 );;;(.56);Acajous / Rouges ( .6 / .62 / .66);;;Marron (.7 / .77);;(.8)
1 / 3 / 4;1.0:COLKS01/00100;3.0:COLKS03/00100;4.0:COLKS04/00100;1.1:COLKS01/01100;;4.2:COLKS04/02100;4.3:COLKS04/03100;;;;;;;;;4.7:COLKS04/07100;4.77:COLKS04/77100;
5 (Châtain Clair);5.0:COLKS05/00100;;;;;5.2:COLKS05/02101;5.3:COLKS05/03100;5.35:COLKS05/35100;5.4:COLKS05/04100;;;5.56:COLKS05/56100;5.6:COLKS05/06100;5.62:COLKS05/62100;5.66:COLKS05/66100;5.7:COLKS05/07100;5.77:COLKS05/77100;
6 (Blond Foncé);6.0:COLKS06/00100;;;6.1:COLKS06/01100;;6.2:COLKS06/02102;6.3:COLKS06/03100;6.34:COLKS06/34100;6.4:COLKS06/04100;;6.44:COLKS06/44100;;6.6:COLKS06/06100;6.62:COLKS06/62100;6.66:COLKS06/66100;6.7:COLKS06/07100;6.77:COLKS06/77100;
7 (Blond);7.0:COLKS07/00100;;;7.1:COLKS07/01100;;;7.3:COLKS07/03100;;7.4:COLKS07/04100;7.43:COLKS07/43100;7.44:COLKS07/44100;;;;;7.7:COLKS07/07100;;
8 (Blond Clair);8.0:COLKS08/00100;;;8.1:COLKS08/01100;8.13:COLKS08/13100;;8.3:COLKS08/03100;;8.4:COLKS08/04100;;;;;;;;;
9 (Blond Très Clair);9.0:COLKS09/00100;;;9.1:COLKS09/01100;9.13:COLKS09/13100;;9.3:COLKS09/03100;;;;;;;;;;;
10 (Platine);10.0:COLKS10/00100;;;10.1:COLKS10/01100;;;10.3:COLKS10/03100;;;;;;;;;;;
11 (Platine);11.0:COLKS11/00101;;;;;;;;;;;;;;;;;
12 (Platine);12.0:COLKS12/00102;;;12.1:COLKS12/01102;;;;;;;;;;;;;;12.8:COLKS12/08102
